ccc_2018-08-31_cccc-1-rapid-rumble-15-5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
ccc_2022-01-31_16-blitz-challenger.pgn: CCC 16 Blitz: Challenger (5|5)
ccc_2022-02-08_16-blitz-finals.pgn: CCC 16 Blitz: Finals (5|5)
ccc_2022-02-20_17-rapid-qualification.pgn: CCC 17 Rapid: Qualification (15|3)
ccc_2022-02-27_17-rapid-main.pgn: CCC 17 Rapid: Main (15|3)
ccc_2022-03-06_17-rapid-semifinals.pgn: CCC 17 Rapid: Semifinals (15|3)
ccc_2022-03-14_17-rapid-challenger.pgn: CCC 17 Rapid: Challenger (15|3)
ccc_2022-03-22_17-rapid-finals.pgn: CCC 17 Rapid: Finals (15|3)
ccc_2022-04-04_17-bullet-qualification.pgn: CCC 17 Bullet: Qualification (2|1)
ccc_2022-04-12_17-bullet-main.pgn: CCC 17 Bullet: Main (2|1)
ccc_2022-04-21_17-bullet-semifinals.pgn: CCC 17 Bullet: Semifinals (2|1)
ccc_2022-04-30_17-bullet-challenger.pgn: CCC 17 Bullet: Challenger (2|1)
ccc_2022-05-09_17-bullet-finals.pgn: CCC 17 Bullet: Finals (2|1)
ccc_2022-06-01_17-blitz-qualification.pgn: CCC 17 Blitz: Qualification (5|5)
ccc_2022-06-08_17-blitz-main.pgn: CCC 17 Blitz: Main (5|5)
ccc_2022-06-16_17-blitz-semifinals.pgn: CCC 17 Blitz: Semifinals (5|5)
ccc_2022-06-28_17-blitz-challenger.pgn: CCC 17 Blitz: Challenger (5|5)
ccc_2022-07-05_17-blitz-finals.pgn: CCC 17 Blitz: Finals (5|5)
ccc_2022-07-17_18-rapid-qualification.pgn: CCC 18 Rapid: Qualification (15|3)
ccc_2022-07-24_18-rapid-main.pgn: CCC 18 Rapid: Main (15|3)
ccc_2022-07-31_18-rapid-semifinals.pgn: CCC 18 Rapid: Semifinals (15|3)
ccc_2022-08-11_18-rapid-finals.pgn: CCC 18 Rapid: Finals (15|3)
ccc_2022-08-22_18-rapid-challenger.pgn: CCC 18 Rapid: Challenger (15|3)
ccc_2022-09-08_19-blitz-newcomers.pgn: CCC 19 Blitz: Newcomers (5|5)
ccc_2022-09-10_19-blitz-qualifier-1.pgn: CCC 19 Blitz: Qualifier #1 (5|5)
ccc_2022-09-13_19-blitz-qualifier-2.pgn: CCC 19 Blitz: Qualifier #2 (5|5)
ccc_2022-09-18_19-blitz-main.pgn: CCC 19 Blitz: Main (5|5)
ccc_2022-09-26_19-blitz-semifinals.pgn: CCC 19 Blitz: Semifinals (5|5)
ccc_2022-10-01_19-blitz-challenger-match.pgn: CCC 19 Blitz: Challenger Match (5|5)
ccc_2022-10-09_19-blitz-finals.pgn: CCC 19 Blitz: Finals (5|5)
ccc_2022-10-13_19-blitz-revenge-for-leela.pgn: CCC 19 Blitz: Revenge for Leela (5|2)
ccc_2022-10-20_19-rapid-newcomers.pgn: CCC 19 Rapid: Newcomers (15|3)
ccc_2022-10-25_19-rapid-qualifier-1.pgn: CCC 19 Rapid: Qualifier #1 (15|3)
ccc_2022-10-29_19-rapid-qualifier-2.pgn: CCC 19 Rapid: Qualifier #2 (15|3)
ccc_2022-11-02_19-rapid-qualifier-2-tiebreaks.pgn: CCC 19 Rapid: Qualifier #2: Tiebreaks (15|3)
ccc_2022-11-03_19-rapid-main.pgn: CCC 19 Rapid: Main (15|3)
ccc_2022-11-10_19-rapid-semifinals.pgn: CCC 19 Rapid: Semifinals (15|3)
ccc_2022-11-17_19-rapid-challenger-match.pgn: CCC 19 Rapid: Challenger Match (15|3)
ccc_2022-11-27_19-rapid-finals.pgn: CCC 19 Rapid: Finals (15|3)
ccc_2022-12-04_19-rapid-alt-finals.pgn: CCC 19 Rapid: Alt Finals (15|3)
ccc_2022-12-15_19-bullet-newcomers.pgn: CCC 19 Bullet: Newcomers (1|1)
ccc_2022-12-20_19-bullet-qualifier-1.pgn: CCC 19 Bullet: Qualifier #1 (1|1)
ccc_2022-12-25_19-bullet-qualifier-2.pgn: CCC 19 Bullet: Qualifier #2 (1|1)
ccc_2022-12-30_19-bullet-main.pgn: CCC 19 Bullet: Main (1|1)
ccc_2023-01-07_19-bullet-semifinals.pgn: CCC 19 Bullet: Semifinals (1|1)
ccc_2023-01-14_19-bullet-challenger-match.pgn: CCC 19 Bullet: Challenger Match (1|1)
ccc_2023-01-19_19-bullet-finals.pgn: CCC 19 Bullet: Finals (1|1)
ccc_2023-01-24_19-bullet-alt-finals.pgn: CCC 19 Bullet: Alt Finals (1|1)
ccc_2023-02-07_20-blitz-newcomers.pgn: CCC 20 Blitz: Newcomers (3|2)
ccc_2023-02-11_20-blitz-qualifier-1.pgn: CCC 20 Blitz: Qualifier #1 (3|2)
ccc_2023-02-16_20-blitz-qualifier-2.pgn: CCC 20 Blitz: Qualifier #2 (3|2)
ccc_2023-02-21_20-blitz-main.pgn: CCC 20 Blitz: Main (3|2)
ccc_2023-03-05_20-blitz-semifinals.pgn: CCC 20 Blitz: Semifinals (3|2)
ccc_2023-03-13_20-blitz-challenger-match.pgn: CCC 20 Blitz: Challenger Match (3|2)
ccc_2023-03-17_20-blitz-fight-for-fourth.pgn: CCC 20 Blitz: Fight for Fourth (3|2)
ccc_2023-03-19_20-blitz-finals.pgn: CCC 20 Blitz: Finals (3|2)
ccc_2023-04-05_20-rapid-entry-league.pgn: CCC 20 Rapid: Entry League (10|3)
ccc_2023-04-10_20-rapid-qualifier-1.pgn: CCC 20 Rapid: Qualifier #1 (10|3)
ccc_2023-04-15_20-rapid-qualifier-2.pgn: CCC 20 Rapid: Qualifier #2 (10|3)
ccc_2023-04-20_20-rapid-tiebreaker-1.pgn: CCC 20 Rapid: Tiebreaker #1 (10|3)
ccc_2023-04-22_20-rapid-main.pgn: CCC 20 Rapid: Main (10|3)
ccc_2023-05-03_20-rapid-semifinals.pgn: CCC 20 Rapid: Semifinals (10|3)
ccc_2023-05-22_20-rapid-challenger-match.pgn: CCC 20 Rapid: Challenger Match (10|3)
ccc_2023-05-27_20-rapid-finals.pgn: CCC 20 Rapid: Finals (10|3)
ccc_2023-06-10_20-bullet-entry-league.pgn: CCC 20 Bullet: Entry League (1|1)
ccc_2023-06-14_20-bullet-qualifier-1.pgn: CCC 20 Bullet: Qualifier #1 (1|1)
ccc_2023-06-19_20-bullet-qualifier-2.pgn: CCC 20 Bullet: Qualifier #2 (1|1)
ccc_2023-06-25_20-bullet-holding-pattern.pgn: CCC 20 Bullet: Holding Pattern (1|1)
ccc_2023-06-26_20-bullet-main.pgn: CCC 20 Bullet: Main (1|1)
ccc_2023-07-05_20-bullet-semifinals.pgn: CCC 20 Bullet: Semifinals (1|1)
ccc_2023-07-11_20-bullet-challenger-match.pgn: CCC 20 Bullet: Challenger Match (1|1)
ccc_2023-07-16_20-bullet-finals.pgn: CCC 20 Bullet: Finals (1|1)
ccc_2023-07-21_21-blitz-entry-league.pgn: CCC 21 Blitz: Entry League (3|2)
ccc_2023-07-25_21-blitz-qualifier-1.pgn: CCC 21 Blitz: Qualifier #1 (3|2)
ccc_2023-07-28_21-blitz-qualifier-2.pgn: CCC 21 Blitz: Qualifier #2 (3|2)
ccc_2023-07-31_21-blitz-main.pgn: CCC 21 Blitz: Main (3|2)
ccc_2023-08-06_21-blitz-semifinals.pgn: CCC 21 Blitz: Semifinals (3|2)
ccc_2023-08-13_21-blitz-challenger-match.pgn: CCC 21 Blitz: Challenger Match (3|2)
ccc_2023-08-18_21-blitz-finals.pgn: CCC 21 Blitz: Finals (3|2)
ccc_2023-08-23_21-blitz-alt-finals.pgn: CCC 21 Blitz: Alt Finals (3|2)
ccc_2023-08-29_21-rapid-entry-league.pgn: CCC 21 Rapid: Entry League (10|3)
ccc_2023-09-03_21-rapid-qualifier-1.pgn: CCC 21 Rapid: Qualifier #1 (10|3)
ccc_2023-09-09_21-rapid-qualifier-2.pgn: CCC 21 Rapid: Qualifier #2 (10|3)
ccc_2023-09-14_21-rapid-main.pgn: CCC 21 Rapid: Main (10|3)
ccc_2023-09-14_21-rapid-tiebreaker-1.pgn: CCC 21 Rapid: Tiebreaker #1 (10|3)
ccc_2023-09-14_21-rapid-tiebreaker-2.pgn: CCC 21 Rapid: Tiebreaker #2 (10|3)
ccc_2023-09-14_21-rapid-tiebreaker-3.pgn: CCC 21 Rapid: Tiebreaker #3 (10|3)
ccc_2023-09-22_21-rapid-semifinals.pgn: CCC 21 Rapid: Semifinals (10|3)
ccc_2023-10-01_21-rapid-fight-for-fifth.pgn: CCC 21 Rapid: Fight For Fifth (10|3)
ccc_2023-10-03_21-rapid-challenger-match.pgn: CCC 21 Rapid: Challenger Match (10|3)
ccc_2023-10-08_21-rapid-finals.pgn: CCC 21 Rapid: Finals (10|3)
ccc_2023-10-13_21-rapid-alt-finals.pgn: CCC 21 Rapid: Alt Finals (10|3)
ccc_2023-10-21_classical-cup-1-match-1.pgn: Classical Cup #1: Match 1 (30|5)
ccc_2023-10-21_classical-cup-1-match-2.pgn: Classical Cup #1: Match 2 (30|5)
ccc_2023-10-22_classical-cup-1-match-3.pgn: Classical Cup #1: Match 3 (30|5)
ccc_2023-10-23_classical-cup-1-match-4.pgn: Classical Cup #1: Match 4 (30|5)
ccc_2023-10-23_classical-cup-1-match-5.pgn: Classical Cup #1: Match 5 (30|5)
ccc_2023-10-24_classical-cup-1-match-6.pgn: Classical Cup #1: Match 6 (30|5)
ccc_2023-10-24_classical-cup-1-match-7.pgn: Classical Cup #1: Match 7 (30|5)
ccc_2023-10-25_classical-cup-1-match-8.pgn: Classical Cup #1: Match 8 (30|5)
ccc_2023-10-25_classical-cup-1-match-9.pgn: Classical Cup #1: Match 9 (30|5)
ccc_2023-10-26_classical-cup-1-match-10.pgn: Classical Cup #1: Match 10 (30|5)
